input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p2_duplicate,p2_semantics,p3_duplicate,p3_semantics,p1_ted,p2_ted,p3_ted,p1_correct,p2_correct,p3_correct
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"Find the fourth installment of With Lee in Virginia, A Story of the American Civil War.",( S ( VP ( VB ) ( NP ) ) ( . ) ),"Locate episode 4 out of 6 from With Lee in Virginia, A Story of the American Civil War chronicle.",( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"Retrieve part number four from With Lee in Virginia, A Story of the American Civil War series.",( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8989927,0.91344863,0.8990918,False,True,False,True,False,True,5.0,6.0,6.0,True,True,True
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a two out of six rating.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I would rate this album with a score of two out of six.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),"On a scale from one to six, I give this album a rating of two.","( S ( PP ( IN ) ( NP ) ) ( , ) ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( NP ) ) ( . ) )",0.9504429,0.92397475,0.8624743,False,True,False,True,False,True,1.0,6.0,8.0,True,True,True
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current installment of the saga as 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a score of 4 out of 6 to the current part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Give a rating of 4 out of 6 to the latest segment in the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9517252,0.9312731,0.91326743,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some songs from the fifties performed by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I would like to listen to fifties music by Lavern Baker, can you make that happen?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible for you to play a selection of music from the 1950s sung by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.9017096,0.89328754,0.88423795,False,True,False,True,False,True,4.0,6.0,8.0,True,True,True
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Search for a Shahram Nazeri song from 1964 on Pandora.,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( . ) ),Find and play a track by Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) ),Discover and listen to a track from Shahram Nazeri that was released in 1964 via Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( PP ) ) ( . ) ),0.9587061,0.94814223,0.94204944,False,True,False,True,False,True,5.0,2.0,3.0,True,True,True
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you please put on some satirical music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),I'd like to listen to some music that has a satirical theme.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you play me a playlist of satirical songs?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.89961624,0.888606,0.90395,False,True,False,True,False,True,8.0,6.0,5.0,True,True,True
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,When will Crime and Punishment U.S.A. be screened?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),What time is the showing of Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),Can you tell me the schedule for Crime and Punishment U.S.A.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.93652374,0.9173176,0.9096177,False,True,False,True,False,True,1.0,5.0,7.0,True,True,True
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,search for cinemas showing The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),discover the screenings of The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) ),locate showtimes for the play The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) ),0.9056562,0.9145736,0.910043,False,True,False,True,False,True,5.0,1.0,1.0,True,True,True
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you show me the schedule for The Wedding Ring at the local cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"I'm interested in seeing The Wedding Ring, can you provide me with movie times at the theater?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible to catch a screening of The Wedding Ring at any nearby movie theaters?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) ),0.9017548,0.9152067,0.9100167,False,True,False,True,False,True,6.0,4.0,7.0,True,True,True
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,Locate restaurants that serve Italian cuisine,( S ( VP ( VB ) ( NP ) ) ),Discover places where I can find Italian food,( S ( VP ( VB ) ( NP ) ) ),Show me dining options specializing in Italian cuisine,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.84014213,0.8428073,0.84163094,False,True,False,True,False,True,4.0,4.0,5.0,True,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate the album Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find me where I can listen to Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),0.9817496,0.93450654,0.91931355,True,True,False,True,False,True,9.0,6.0,6.0,False,True,True
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Where can I purchase a pre-owned version of the game called I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Can you show me where to find a used copy of the game named I Lay Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),"I'm looking for a second-hand edition of the game called I Lie Around, do you know where to buy it?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.9722663,0.9336376,0.9178244,False,True,False,True,False,True,0.0,7.0,6.0,True,True,True
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Find me the flight with the lowest price from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Can you locate the most affordable flight option from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I'm looking for the least expensive plane ticket from Denver to Pittsburgh,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),0.9351168,0.90837306,0.9124394,False,True,False,True,False,True,2.0,6.0,5.0,True,True,True
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,Find flights from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Can you search for available flights from Milwaukee to Orlando? I prefer departing either on Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),I'm looking for flight options from Milwaukee to Orlando. It would be great if I can depart either on Wednesday evening or Thursday morning.,( S ( S ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( . ) ),0.91380686,0.91339046,0.91717905,False,True,False,True,False,True,6.0,6.0,6.0,True,True,True
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,What is the cheapest rate for a flight from Denver to Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),Can you tell me the most economical fare for traveling from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I want to know the least expensive fare between Denver and Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.9167883,0.89151955,0.9033831,False,True,False,True,False,True,3.0,8.0,5.0,True,True,True
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,I'm looking for the cheapest fare from Boston to Baltimore for one person.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Can you find me the most affordable single ticket price from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Tell me the lowest cost of a one-way trip from Boston to Baltimore.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.90564483,0.8950258,0.91103655,False,True,False,True,False,True,6.0,8.0,6.0,True,True,True
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,How can I travel from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),What are the options for transportation from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),Tell me about the available ground transportation options between Oakland and San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8916896,0.904607,0.8996631,False,True,False,True,False,True,6.0,4.0,6.0,True,True,True
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,Is there a way for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),Could I possibly obtain a rental vehicle in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( ADVP ( RB ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Are rental cars available for me to acquire in Dallas?,( SQ ( VBP ) ( NP ( NP ) ( ADJP ) ) ( . ) ),0.90537304,0.93131584,0.90459603,False,True,False,True,False,True,6.0,3.0,7.0,True,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,Which airlines operate flights between Boston and Atlanta?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Can you tell me which airlines provide service for the route between Boston and Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I am looking for information on the airlines that fly from Boston to Atlanta.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.92320716,0.8837379,0.89205766,False,True,False,True,False,True,6.0,8.0,6.0,True,True,True
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,Find the airlines that fly between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),Display a list of airlines operating flights between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),Retrieve information on the airlines that serve routes from Boston to Denver,( S ( VP ( VB ) ( NP ) ) ),0.9058491,0.89133936,0.8850995,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
what does ls stand for,abbreviation,"[['meal_code', 'ls']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,50,Find the meaning of LS,( S ( VP ( VB ) ( NP ) ) ),Tell me the definition of LS,( S ( VP ( VB ) ( NP ) ( NP ) ) ),What is the explanation for LS,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),0.8483393,0.82616,0.8591894,False,True,False,True,False,True,6.0,6.0,3.0,True,True,True
what does dfw mean,abbreviation,"[['airport_code', 'dfw']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,51,What is the meaning of DFW?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Tell me the definition of DFW.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Can you explain what DFW stands for?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.9150366,0.892536,0.8830909,False,True,False,True,False,True,2.0,7.0,8.0,True,True,True
