input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p2_duplicate,p2_semantics,p3_duplicate,p3_semantics,p1_ted,p2_ted,p3_ted,p1_correct,p2_correct,p3_correct
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,Include Kirk Hammett's music in my Party playlist,( S ( VP ( VB ) ( NP ) ) ),Add the artist Kirk Hammett to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Put songs by this artist called Kirk Hammett into my Party playlist,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( S ) ( PP ) ) ),0.9183515906333923,0.949759304523468,0.9481425285339355,False,True,False,True,False,True,1.0,0.0,6.0,True,True,True
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,I would like to add this melody to Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you help me insert a duplicate of this song into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),Could you assist me in placing a replica of this track into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.955862820148468,0.9315269589424133,0.9297705888748169,False,True,False,True,False,True,3.0,4.0,6.0,True,True,True
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"With Lee in Virginia, the fourth chronicle of six, is a compelling story about the American Civil War.",( SINV ( PP ( IN ) ( NP ) ) ( VP ( VBZ ) ) ( NP ( NP ) ( PP ) ) ( . ) ),"A Story of the American Civil War, called With Lee in Virginia, takes place in chronicle 4 out of a series of 6.","( S ( NP ( NP ) ( , ) ( VP ) ( , ) ) ( VP ( VBZ ) ( NP ) ( PP ) ( PP ) ) ( . ) )","The fourth installment in a series of six, With Lee in Virginia explores the events surrounding the American Civil War.","( S ( NP ( NP ) ( , ) ( PP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )",0.880604088306427,0.8864436745643616,0.8684801459312439,False,True,False,True,False,True,10.0,9.0,6.0,True,True,True
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of 2 out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Rate this musical record with a score of two out of six,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Assign a rating of two out of six to this album,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9450986385345459,0.9179465770721436,0.921174168586731,False,True,False,True,False,True,0.0,1.0,1.0,True,True,True
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current installment of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a score of 4 out of 6 to the ongoing part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Evaluate the current segment of the epic with a rating of 4 points out of a total score possible at six.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9593026041984558,0.9250949025154114,0.89935302734375,False,True,False,True,False,True,1.0,1.0,1.0,True,True,True
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I would like to listen to songs from the 1950s by Lavern Baker, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible for you to put on some fifties music sung by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.9140567779541016,0.8753060698509216,0.902786135673523,False,True,False,True,False,True,4.0,6.0,8.0,True,True,True
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Can you please stream a song from Shahram Nazeri that was released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) ),I would like to listen to a track by Shahram Nazeri that came out in 1964 on the Pandora platform.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you play a song from the year 1964 performed by Shahram Nazeri on the Pandora app?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9216605424880981,0.9210982918739319,0.9212719202041626,False,True,False,True,False,True,6.0,4.0,4.0,True,True,True
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you play some humorous music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"I'd like to listen to some satirical songs, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you put on some music that's satirical in nature?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( PRT ) ( NP ) ) ( . ) ),0.9077154397964478,0.8918472528457642,0.8646695613861084,False,True,False,True,False,True,6.0,6.0,6.0,True,True,True
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),When can I catch a screening of Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Could you tell me when Crime and Punishment U.S.A. is playing?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),0.9158919453620911,0.9049357175827026,0.8999216556549072,False,True,False,True,False,True,5.0,1.0,7.0,True,True,True
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,Discover theaters showcasing The Caretaker at Fox Theatres.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Find cinemas where The Caretaker is playing at Fox Theatres.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Locate showtimes for the play The Caretaker at Fox Theatres.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.920674204826355,0.9010744094848633,0.9042100310325623,False,True,False,True,False,True,2.0,2.0,2.0,True,True,True
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you show me where I can watch The Wedding Ring in a cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),"I'm interested in seeing The Wedding Ring at the movies, can you help me find a theater that is showing it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Do you know any movie theaters that are currently playing The Wedding Ring?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.908459484577179,0.9145396947860718,0.8941095471382141,False,True,False,True,False,True,6.0,4.0,5.0,True,True,True
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I am interested in perusing the novel titled The Lion Sleeps Tonight.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),Could you please find me the book called The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),I would like to read a copy of The Lion Sleeps Tonight.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.9442903995513916,0.9114336967468262,0.9535934925079346,False,True,False,True,False,True,2.0,5.0,3.0,True,True,True
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),discover Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( S ) ) ),search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),0.9994621276855469,0.9995087385177612,0.9817495942115784,True,True,True,True,True,True,6.0,0.0,9.0,False,False,False
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,I want to know where I can purchase a secondhand version of the game titled I Lie Around.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Can you help me find a place to buy a pre-owned copy of the video game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( VP ) ) ( . ) ),Do you have any information on where I can find and purchase a used edition of the game named I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9334767460823059,0.9365513920783997,0.9277135729789734,False,True,False,True,False,True,7.0,6.0,7.0,True,True,True
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Can you find the most affordable plane ticket from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I'm looking for the least expensive flight option from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Could you help me locate the cheapest airfare between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.9091856479644775,0.9176830649375916,0.9145504236221313,False,True,False,True,False,True,6.0,6.0,7.0,True,True,True
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,"I am interested in taking a flight from Milwaukee to Orlando, either on Wednesday evening or Thursday morning.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),"I would like to travel from Milwaukee to Orlando, and I have the option of flying on either Wednesday evening or Thursday morning.","( S ( S ( NP ) ( VP ) ) ( , ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) )",Is it possible for me to book a flight from Milwaukee to Orlando? I am flexible with my timings and can choose between Wednesday evening or Thursday morning.,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ( NP ( PRP ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( . ) ),0.9374586343765259,0.9319164156913757,0.898506224155426,False,True,False,True,False,True,2.0,7.0,13.0,True,True,True
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,How much does it cost to fly from Denver to Pittsburgh?,( SBARQ ( WHNP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),What is the cheapest fare for a flight from Denver to Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),Can you tell me the lowest price for a ticket from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.8895539045333862,0.9233116507530212,0.8910126686096191,False,True,False,True,False,True,7.0,4.0,8.0,True,True,True
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,How much is the lowest one-way ticket price from Boston to Baltimore?,( SBARQ ( WHNP ( WRB ) ( JJ ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),What is the least expensive fare for a one-way trip from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),Can you tell me the cheapest cost for a single journey from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9238867163658142,0.9346671104431152,0.8978708386421204,False,True,False,True,False,True,6.0,3.0,8.0,True,True,True
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,How can I get from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),What are the transportation options between Oakland and San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) ),Tell me about the ways to travel from Oakland to San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8898743391036987,0.9046798348426819,0.8947838544845581,False,True,False,True,False,True,6.0,4.0,6.0,True,True,True
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,Is it possible to find a rental car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) ),Could you help me find a car for rent in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),Are there any available rentals cars in Dallas?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.9169004559516907,0.9097605347633362,0.8849295973777771,False,True,False,True,False,True,7.0,3.0,5.0,True,True,True
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,Which airlines operate flights between Boston and Atlanta?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Can you tell me the airlines that fly from Boston to Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"I'm looking for information on flights from Boston to Atlanta, which airlines should I consider?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.92320716381073,0.8808748722076416,0.8666518926620483,False,True,False,True,False,True,6.0,8.0,6.0,True,True,True
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,display the airlines operating flights from Boston to Denver,( S ( VP ( VB ) ( S ) ) ),find the airlines that fly between Boston and Denver,( S ( VP ( VB ) ( NP ) ) ),show me a list of airlines that serve routes from Boston to Denver,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.8907391428947449,0.9059193134307861,0.9152931571006775,False,True,False,True,False,True,0.0,1.0,2.0,True,True,True
what does ls stand for,abbreviation,"[['meal_code', 'ls']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,50,What is the meaning of ls?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Can you tell me what ls stands for?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),"I'm curious about the acronym ls, can you explain it to me?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",0.8766278624534607,0.9029669761657715,0.828403115272522,False,True,False,True,False,True,2.0,8.0,8.0,True,True,True
what does dfw mean,abbreviation,"[['airport_code', 'dfw']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,51,Can you please explain the meaning of dfw?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),I would like to know the definition of dfw.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),What is the significance of dfw?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),0.8875787258148193,0.8949309587478638,0.9247058033943176,False,True,False,True,False,True,8.0,7.0,2.0,True,True,True
