input_utterance,paraphrase_value,paraphrase_template
How far is the closest cab,Can you tell me how close the nearest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Request a taxi from the airport to home,I need a taxi to get from the airport back to my place,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the expected weather for Harrison-Crawford State Forest,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the forecast for colder in Anston,I'm wondering about the forecast for Anston during colder weather.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
How hot is it in Pesotum,Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm looking for a pub with Italian dressing where I can host a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation for nine people at a taverna in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a table for eight people please,"I would like to make a reservation for eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Include Ruud Jolie in the Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,add the artist Kirk Hammett to the Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you help me insert this song into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Can you please provide me a review for With Lee in Virginia, A Story of the American Civil War chronicle 4 out of 6?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Rate this album two out of 6,Assign a score of two out of six to this album,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Assign a rating of 4 out of 6 to the ongoing part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,"I would like to listen to fifties music by Lavern Baker, can you play that?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
Play a 1964 track from Shahram Nazeri on Pandora.,"On Pandora, play a song by Shahram Nazeri from 1964.","( S ( PP ( IN ) ( NP ) ) ( , ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )"
Please play me some Satire music,I would like you to find and play Satire songs.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,Can you tell me when Crime and Punishment U.S.A. is playing?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
find Fox Theatres with The Caretaker,search for Fox Theatres showing The Caretaker,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Is it possible for me to watch The Wedding Ring at the movie theater?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I am interested in going through the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Are there any places to buy a secondhand version of the game called I Lie Around?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,I'm looking for the most affordable flight options from Denver to Pittsburgh. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,I am looking for flights departing from Milwaukee and arriving in Orlando on either Wednesday evening or Thursday morning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,find me the most affordable fare for a flight from Denver to Pittsburgh,( S ( VP ( VB ) ( S ) ) )
what is the cheapest one way fare from boston to baltimore,how much does the cheapest one way ticket cost from Boston to Baltimore,( SBARQ ( WHNP ( WRB ) ( JJ ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
what is the ground transportation from oakland to san francisco,what are the options for traveling between Oakland and San Francisco using ground transportation?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
can i get a rental car in dallas,Can I find a rental car in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what airlines fly between boston and atlanta,Can you tell me which airlines provide service between Boston and Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
show me the airlines between boston and denver,list out the airlines connecting boston and denver,( S ( VP ( VB ) ( PRT ) ( NP ) ) )
what does ls stand for,Can you tell me the definition of ls?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what does dfw mean,Can you tell me the definition of DFW?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Terminate i-a541 now,Stop the i-a541 right now,( S ( VP ( VB ) ( NP ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Look up videos on how to cook,( S ( VP ( VB ) ( PRT ) ( NP ) ) )
Find most popular photos tagged #LOVE,Locate the top-rated images labeled #LOVE,( S ( VP ( VB ) ( S ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Look for some lovely pictures that are related to Opera House and have a size of 1024px * 768px,( S ( VP ( VB ) ( PP ) ) )
Are the burglar alarms in the office malfunctioning ?,Are the alarms in the office not functioning properly?,( SQ ( VBP ) ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( RB ) ( VP ( VBG ) ( ADVP ) ) ( . ) )
Is the TV in the house off ?,Is the television switched off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,I'm looking for a low-cost hotel near Seattle for tomorrow night. Any recommendations for two people?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for budget-friendly hotels that I can stay at for 7 days. Is there anything available near Riverside?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Write an email to Phil stating that ''I comprehend you'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Search for 5 conference articles on the topic of text mining,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
I am looking for the latest scientific article related to Machine Learning,I'm searching for the newest scientific article that is related to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a comment expressing ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Skip to the next song,Move on to the following song,( S ( VP ( VB ) ( PRT ) ( PP ) ) )
Where can I upgrade my laptop ?,I would like to know locations for upgrading my laptop.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,I'm looking for three barbershops in Newtown. Could you help me find them?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
Let me have top three convenience stores near Newtown,I would like to find the best three convenience stores near Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,I'm looking for feedback on McDonald's at Kensington Street. Can you help?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
How far is the closest cab,How long does it take to reach the nearest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you tell me the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,I would like to know what the forecast is for Anston with colder conditions.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
How hot is it in Pesotum,Can you tell me the current heat in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm looking for a pub with Italian dressing that can accommodate a group of 5 people on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation at a taverna in Equatorial Guinea for a party of nine this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( NP ) ) ( . ) )
Book a table for eight people please,"I would like to make a reservation for eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Include Ruud Jolie in my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,add this artist Kirk Hammett to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,I'd like to upload a duplicate of this melody to Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Can you provide a rating for With Lee in Virginia, A Story of the American Civil War chronicle 4 out of 6?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Rate this album two out of 6,Assign a rating of two out of six to this album.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Assign a rating of 4 out of 6 points to the current part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you play a selection of songs by Lavern Baker from the 1950s?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,I want to listen to a track by Shahram Nazeri released in 1964 on Pandora.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Please play me some Satire music,I would like to listen to a playlist of Satire music.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,Can you tell me the schedule for Crime and Punishment U.S.A.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres that are showing The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,"I'm interested in seeing The Wedding Ring, could you find a movie theater that's playing it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
I want to read the book The Lion Sleeps Tonight,I'm interested in reading The Lion Sleeps Tonight book,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I find a pre-owned copy of the game known as I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Could you help me find the least expensive flight option from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,"Could you please find me a flight from Milwaukee to Orlando? I am flexible with the departure time, so either Wednesday evening or Thursday morning works for me.","( S ( SQ ( MD ) ( NP ) ( VP ) ( . ) ( NP ) ( VP ) ) ( , ) ( RB ) ( S ( NP ) ( VP ) ) ( . ) )"
what is the lowest fare from denver to pittsburgh,find me the least expensive fare for travel between Denver and Pittsburgh,( S ( VP ( VB ) ( S ) ) )
what is the cheapest one way fare from boston to baltimore,I'm looking for the least expensive one-way fare from Boston to Baltimore. Can you provide that information?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
what is the ground transportation from oakland to san francisco,what are the transportation options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,Can I rent a car in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what airlines fly between boston and atlanta,what are the airlines that fly from boston to atlanta,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) )
show me the airlines between boston and denver,provide information about airlines servicing the route from Boston to Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what's the definition of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,define dfw for me,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Terminate i-a541 now,Stop i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Look for tutorials on cooking,( S ( VP ( VB ) ( PP ) ) )
Find most popular photos tagged #LOVE,Discover the top-rated photos labeled #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,"Find a couple of great pictures that go well with Opera House, sized at 1024px * 768px",( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Are there any problems with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Did anyone switch off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,I'm looking for a cheap hotel near Seattle for tomorrow. Any recommendations for a place that can accommodate two guests?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for budget-friendly hotels that offer a seven-day stay near Riverside. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',"Could you please help me by sending an email to Phil, letting her know that I said 'I got you'?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( '' ) ( . ) )
Give me 5 conference articles about text mining,I would like to find 5 conference articles that discuss text mining.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Could you help me locate the latest scientific article on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a comment that states 'Exceptional voice quality',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Navigate to the previous track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Jump to the following song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,I'm looking for a location where I can upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,I would like recommendations for three barber shops in Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Let me have top three convenience stores near Newtown,I would like to find the top three convenience stores close to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,I'm looking for feedback about McDonald's located at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
How far is the closest cab,Can you tell me the distance of the closest cab?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Request a taxi from the airport to home,Get me a taxi from the airport to my house,( S ( VP ( VB ) ( S ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you provide the weather prediction for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,can you tell me about the forecast indicating colder temperatures in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How hot is it in Pesotum,Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Is there a pub that offers Italian dressing where I can go with a party of five on February 11, 2033?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Find a place to eat in Equatorial Guinea that can accommodate nine people this month.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,I would like to make a booking for eight people,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Include Ruud Jolie in the Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,add the artist named Kirk Hammett to the Party playlist,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to insert a copy of this melody into Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to review With Lee in Virginia: A Story of the American Civil War, which is the 4th out of 6 books.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Rate this album two out of 6,Rate this album with a score of 2 out of 6,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Assign a rating of 4 out of 6 to the current installment of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,"I'm in the mood for fifties music sung by Lavern Baker, can you play it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
Play a 1964 track from Shahram Nazeri on Pandora.,Find and play a song by Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,"I would like to listen to some Satire music, can you play it for me?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
When is Crime and Punishment U.S.A. showing?,When can I catch Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres showing The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Is The Wedding Ring playing at the local movie theater?,( SQ ( VBZ ) ( NP ( DT ) ( NNP ) ( NNP ) ) ( VP ( VBG ) ( PP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Can you please show me the book titled The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,I'm looking for a place to purchase a pre-owned version of the game called I Lie Around. Any ideas?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,I would like to know the most affordable flight from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,"Can you help me find flights departing from Milwaukee and arriving at Orlando? I'm flexible with my departure time, it can be either Wednesday evening or Thursday morning.","( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( , ) ( S ( NP ) ( VP ) ) ( . ) )"
what is the lowest fare from denver to pittsburgh,how much does it cost to fly from denver to pittsburgh,( SBARQ ( WHNP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,Can you find me the cheapest fare for a one-way trip from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,Tell me the options for traveling from Oakland to San Francisco via ground transportation.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,Can I hire a car in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what airlines fly between boston and atlanta,can you tell me the airlines that offer flights from boston to atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
show me the airlines between boston and denver,list the airlines that fly from Boston to Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what does the abbreviation ls mean,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
what does dfw mean,can you tell me what dfw stands for,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) )
Terminate i-a541 now,Stop i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Look for videos about cooking,( S ( VP ( VB ) ( PP ) ) )
Find most popular photos tagged #LOVE,Discover the top-rated pictures tagged with #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Look for a couple of high-quality images that show the Opera House. The size should be 1024 pixels wide and 768 pixels tall.,( S ( S ( VP ) ) ( . ) ( NP ( DT ) ( NN ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Are the burglar alarms in the office malfunctioning ?,Are there any issues with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Is the television switched off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Could you suggest an affordable hotel near Seattle for tomorrow's stay with space for 2 guests?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me budget-friendly hotels close to Riverside where I can stay for 7 days?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Drop a mail to Phil stating that ''You can count on me''.,( S ( VP ( VB ) ( NP ) ( PP ) ( S ) ) ( . ) )
Give me 5 conference articles about text mining,Fetch 5 articles from conferences related to text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I am looking for the latest scientific article related to Machine Learning,I need to find the newest scientific paper that is related to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a comment that reads ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Move on to the following song,( S ( VP ( VB ) ( PRT ) ( PP ) ) )
Where can I upgrade my laptop ?,I'm wondering where I can go to upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,I'm looking for three barbershops in Newtown. Can you help?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please show me the top three convenience stores in the Newtown area.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Please give me some reviews for the McDonald's restaurant on Kensington street.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,How long does it take to reach the closest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
Request a taxi from the airport to home,Get me a taxi from the airport to my place,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,I want to know what the weather will be like in Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
what is the forecast for colder in Anston,can you tell me the forecast for chilly weather in Anston,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
How hot is it in Pesotum,Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I need recommendations for a pub that serves Italian dressing for a group of 5 people on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation at a taverna in Equatorial Guinea for a party of nine this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( NP ) ) ( . ) )
Book a table for eight people please,"I would like to reserve a table for eight people, if possible.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,I would like to add Ruud Jolie to the playlist called Guest List Polygon.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,add Kirk Hammett as an artist to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you please insert this song into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","With Lee in Virginia, A Story of the American Civil War has a rating of 4 out of 6 according to my assessment","( S ( PP ( IN ) ( NP ) ) ( , ) ( NP ( NP ) ( PP ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) )"
Rate this album two out of 6,Rate this album with a score of two out of six,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Give a score of 4 out of 6 to the latest part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,I would like to listen to fifties songs by lavern baker. Could you play them?,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,I would like to listen to a song by Shahram Nazeri from the year 1964 on Pandora.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please play me some Satire music,"I would like to hear Satire music, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
