input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),Do the burglar alarms in the office have any issues?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there any problems with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),Has the TV been switched off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),Is the television inside turned off?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( ADVP ( RB ) ) ( VP ( VBN ) ( PRT ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,Can you recommend a budget-friendly hotel close to Seattle for tomorrow for 2 people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Could you suggest an affordable hotel near Seattle for tomorrow accommodating 2 guests?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Do you have any recommendations for a cheap hotel near Seattle available for tomorrow and suitable for 2 individuals?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,Can you find me any inexpensive accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),I'm looking for budget-friendly hotels that offer a 7-day stay and are located near Riverside.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Is there a place nearby Riverside where I can find affordable hotels for a 7-day duration?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADVP ) ) ( NP ( NNP ) ) ( SBAR ( WHADVP ) ( S ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,Email Phil and let her know that I have her back.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) ),Send an email to Phil saying ''I've got your back''.,( S ( VP ( VB ) ( NP ) ( PP ) ( VP ) ) ( . ) ),Compose an email to Phil informing her that ''You can rely on me''.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Provide me with five conference articles related to text mining.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Find five conference articles focusing on text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Can you show me five conference articles regarding text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I need to find the newest scientific article that pertains to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),Do you have any information on the latest scientific article connected to Machine Learning?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Make a comment that says ''Greatest Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Compose a comment expressing ''Voice of the Century'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),Generate a remark stating ''Most Amazing Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) ),Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) ),Move to the last played music,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Move to the following track,( S ( VP ( VB ) ( PP ) ) ),Proceed to the next music piece,( S ( VP ( VB ) ( PP ) ) ),Skip to the succeeding song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Where can I get my laptop upgraded?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Can you suggest some places where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you provide me with three barber shops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I'm looking for three barbershops in Newtown. Can you help?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),Do you have a list of three barbershops available in Newtown?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Please show me the best three convenience stores close to Newtown.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Can you recommend the top three convenience stores in the vicinity of Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I would like to know which are the top three convenience stores near Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you find me reviews for McDonald's located on Kensington street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I'm looking for feedback on the McDonald's restaurant at Kensington street. Can you assist?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Please provide me with reviews of the McDonald's branch situated on Kensington st.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),Can you tell me how close the nearest cab is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),What's the proximity of the closest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Book a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) ),I need a taxi to get from the airport back to my place,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( S ) ) ),Arrange for a cab ride from the airport to my house,( S ( VP ( VB ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,What is the weather prediction for Harrison-Crawford State Forest,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ),Can you tell me the expected weather for Harrison-Crawford State Forest,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),I would like to know the forecasted conditions for Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,Can you tell me the weather forecast for Anston when it gets colder?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( SBAR ) ) ( . ) ),I'm wondering about the forecast for Anston during colder weather.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),What can you tell me about the weather in Anston when it becomes colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) ),Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I want to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Can you find a pub that serves Italian dressing and can accommodate a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm looking for a pub with Italian dressing where I can host a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"Could you help me locate a pub that has Italian dressing and is available for hosting a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea this month for a party of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),Make a reservation for nine people at a taverna in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Schedule a dinner at a taverna in Equatorial Guinea this month for nine guests.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Can you please reserve a table for a party of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I would like to make a reservation for eight people, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you help me book a table for eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Add Ruud Jolie to my Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Include Ruud Jolie in the Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) ),Put Ruud Jolie on my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,include Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) ),add the artist Kirk Hammett to the Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),put this musician called Kirk Hammett into my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) )
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,I would like to add this melody to Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you help me insert this song into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),Is it possible for me to include a copy of this track in Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"I want to rate With Lee in Virginia, A Story of the American Civil War chronicle number 4 out of 6.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),"Can you please provide me a review for With Lee in Virginia, A Story of the American Civil War chronicle 4 out of 6?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"Could you give me your feedback on With Lee in Virginia, A Story of the American Civil War chronicle's fourth installment?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Assign a score of two out of six to this album,( S ( VP ( VB ) ( NP ) ( PP ) ) ),"Rate this album with a rating scale from one to six, giving it a score of two","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) )"
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate the current section of the saga with a score of 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a rating of 4 out of 6 to the ongoing part of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Provide a rating on a scale from one to six for the present installment in the saga.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I would like to listen to fifties music by Lavern Baker, can you play that?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible for you to play some Lavern Baker songs from the fifties?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Play a track from Shahram Nazeri that was released in 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),"On Pandora, play a song by Shahram Nazeri from 1964.","( S ( PP ( IN ) ( NP ) ) ( , ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )",Can you find and play a track by Shahram Nazeri released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Could you play some music in the genre of Satire for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),I would like you to find and play Satire songs.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you start playing some music that falls into the category of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),Can you tell me when Crime and Punishment U.S.A. is playing?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I'd like to know the schedule for Crime and Punishment U.S.A.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,locate Fox Theatres featuring The Caretaker,( S ( VP ( VB ) ( NP ) ) ),search for Fox Theatres showing The Caretaker,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( NP ) ) ),find cinema playing The Caretaker at Fox Theatres,( S ( VP ( VB ) ( S ) ) )
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can I see The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Is it possible for me to watch The Wedding Ring at the movie theater?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),I want to catch a screening of The Wedding Ring at the cinema.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I would like to peruse the novel The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),I am interested in going through the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ),Can you suggest a good read like The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),discover Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( S ) ) )
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Do you know any stores where I can purchase a pre-owned copy of the game called I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there any places to buy a secondhand version of the game called I Lie Around?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),Can you recommend any shops that sell used copies of the game titled I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,can you find me the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I'm looking for the most affordable flight options from Denver to Pittsburgh. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),Could you assist in finding the cheapest flight available between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,Find flights from Milwaukee to Orlando either on Wednesday evening or Thursday morning.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I am looking for flights departing from Milwaukee and arriving in Orlando on either Wednesday evening or Thursday morning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Can you help me find flights that go from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,what is the cheapest ticket price from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),find me the most affordable fare for a flight from Denver to Pittsburgh,( S ( VP ( VB ) ( S ) ) ),can you tell me the least expensive cost for traveling from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,what is the least expensive one-way ticket price from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),how much does the cheapest one way ticket cost from Boston to Baltimore,( SBARQ ( WHNP ( WRB ) ( JJ ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),what is the most affordable single trip fare from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,how can I travel from Oakland to San Francisco by ground transportation?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),what are the options for traveling between Oakland and San Francisco using ground transportation?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),tell me about the different ways to get from Oakland to San Francisco on land.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,Is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),Can I find a rental car in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Are there any rental cars available in Dallas?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( . ) )
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,Which airlines operate flights between Boston and Atlanta?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) ),Can you tell me which airlines provide service between Boston and Atlanta?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I'd like to know the airlines that offer flights from Boston to Atlanta.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,display the airlines operating between boston and denver,( S ( VP ( VB ) ( S ) ) ),list out the airlines connecting boston and denver,( S ( VP ( VB ) ( PRT ) ( NP ) ) ),find flights from boston to denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,abbreviation,"[['meal_code', 'ls']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,50,What is the meaning of ls?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),Can you tell me the definition of ls?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Please explain what does ls stand for.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( SBAR ) ) ( . ) )
